id,topic,category,indicator,subindicator,units,geography,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,note
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Algeria,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Angola,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Benin,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Botswana,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Burkina Faso,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Burundi,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Cameroon,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Central African Republic,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Chad,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,"Congo, Rep.",,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Congo (Dem. Rep.),,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Cote d'Ivoire,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Eritrea,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Ethiopia,,,,,,,,,1,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Ghana,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Guinea,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Kenya,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Lesotho,,,,,,,,,,,
1.01,Fundamentals,Policy,Policy  Clean energy,Auctions/Tenders,Policies,Liberia,,,,,,,,,,,
